;status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;country;only year;first_author
6786;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;Associated organism: Saccharum officinarum;Gramineae;IMI254914a;Nigeria;1981;Tabethyle
6787;;Fungi;Ascomycota;;;;Phaeocytostroma sacchari;(Ellis & Everh.) B. Sutton;;;Associated organism: Saccharum officinarum;Gramineae;IMI254914b;Nigeria;1981;Tabethyle
6788;;Fungi;Ascomycota;Trichosphaeriales;;;Nigrospora sacchari;(Speg.) E.W. Mason;;;Associated organism: Saccharum officinarum;Gramineae;IMI254914c;Nigeria;1981;Tabethyle
6789;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;Associated organism: Saccharum officinarum;Gramineae;IMI254913a;Nigeria;1981;Tabethyle
6790;;Fungi;Ascomycota;;;;Phaeocytostroma sacchari;(Ellis & Everh.) B. Sutton;;;Associated organism: Saccharum officinarum;Gramineae;IMI254913b;Nigeria;1981;Tabethyle
6791;;Fungi;Ascomycota;Pleosporales;;;Phoma sorghina;(Sacc.) Boerema, Dorenb. & Kesteren;;;Associated organism: Saccharum officinarum;Gramineae;IMI254913c;Nigeria;1981;Tabethyle
6792;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;Substratum: seed. Associated organism: Citrullus lanatus;Cucurbitaceae;IMI238653;Nigeria;1979;Sine Harris
6793;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;;;IMI280429;Nigeria;1983;
6794;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;Associated organism: Mangifera indica;Anacardiaceae;IMI294484;Nigeria;1985;Gumel, M.H. 
6795;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;Substratum: leaf. Associated organism: Oryza sativa;Gramineae;IMI214822;Sierra Leone;1977;Suigh, N.
